Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name
HG2266_PATCH	315665	321332	1	GPR22
HG2266_PATCH	409139	424178	1	DUS4L
HG2265_PATCH	3435	65394	1	PCP4
21	21655038	21686329	-1	
21	8254592	8255514	-1	
HG2265_PATCH	150307	986812	-1	DSCAM
21	13581060	13582004	-1	OR4K12P
21	23960569	23968747	-1	
21	38894917	38895252	1	RPSAP64
21	31840341	31840858	1	TPT1P1
HG2104_PATCH	2426	47592	-1	SLC16A1
21	18022370	18114904	-1	
HG2265_PATCH	352006	352085	-1	MIR4760
21	30214006	30216097	-1	CLDN8
HG2265_PATCH	522737	525012	1	DSCAM-AS1
21	25646113	25654671	-1	
HG2265_PATCH	652798	652933	1	
HG2265_PATCH	755032	770421	-1	DSCAM-IT1
21	24886676	24902756	-1	
21	39028536	39029128	-1	LINC02943
HG2265_PATCH	875972	894542	1	
HG2265_PATCH	1003648	1004127	1	YRDCP3
21	25371827	25372043	1	
21	17705408	17707455	1	
21	32020966	32021782	-1	HUNK-AS1
21	8101251	8103706	-1	
21	10330732	10331537	1	EIF3FP1
21	22098616	22116605	1	LINC00308
21	36320189	36386148	1	MORC3
HG2266_PATCH	425212	425712	-1	
HG2266_PATCH	426428	464015	1	BCAP29
HG2266_PATCH	449018	449162	1	
HG2104_PATCH	14002	14916	1	AKR7A2P1
HG2104_PATCH	47180	47331	1	
21	19620695	19621545	1	NIPA2P3
21	5705345	5707160	1	
21	8462320	8462798	1	
21	24938431	24992817	-1	
21	8417757	8418235	1	
21	8423760	8424071	1	
21	8237649	8237979	1	
21	16862875	16873691	-1	
21	38974429	38977774	-1	LINC01700
21	25692180	25692554	1	FDX1P2
21	17901263	18267373	1	CHODL
HG2334_PATCH	77778	78311	-1	KLLN
HG2280_PATCH	567970	568377	1	
HG2280_PATCH	658907	685891	-1	
HG2334_PATCH	33750	61434	1	CFL1P1
HG2280_PATCH	259882	645636	1	ADAMTSL3
HG2334_PATCH	48640	48920	-1	RN7SL78P
HG2334_PATCH	59692	60102	1	CFL1P1
21	46052596	46053105	1	
21	10640028	10640338	-1	
HG2334_PATCH	78462	183684	1	PTEN
21	46037052	46039807	1	
21	7020599	7025166	1	
21	38846247	38848644	1	
21	8421883	8422116	1	
21	46072085	46072248	-1	PSMA6P3
HG2280_PATCH	345578	345993	1	TUBAP4
21	39023000	39023835	-1	
HG2280_PATCH	53022	224537	1	SH3GL3
21	20597953	20598163	1	
21	22436290	22438349	-1	MAPK6P2
21	13095305	13113790	-1	ZNF355P
21	13120244	13120807	1	BNIP3P43
21	13305152	13314944	1	
HG2290_PATCH	6058	6610	1	IGKV5-2
HG2280_PATCH	323221	323316	1	RNU6-401P
21	8210384	8211306	-1	
HG2280_PATCH	430657	430747	-1	RNU6-1339P
HG2280_PATCH	776971	778977	-1	
HG2334_PATCH	161291	161813	1	RPL11P3
HG2290_PATCH	23907	24204	-1	IGKV7-3
21	22500604	22520058	-1	
HG2280_PATCH	792538	803171	1	CSPG4P11
HG2334_PATCH	210407	210484	-1	
HG2290_PATCH	31154	31579	-1	PGBD4P5
HG2290_PATCH	40492	41206	-1	IGKV2-4
HG2280_PATCH	811242	811488	-1	RN7SL331P
21	13384249	13427773	-1	ANKRD30BP1
HG2280_PATCH	861780	861881	1	UBE2Q2P8
HG2280_PATCH	881542	887721	1	
HG2290_PATCH	56127	56783	-1	IGKV1-5
HG2280_PATCH	885890	886154	1	RN7SL417P
21	13476371	13477263	1	VN1R8P
HG2280_PATCH	886330	887332	1	
HG2290_PATCH	75088	75593	-1	IGKV1-6
21	13443373	13489176	-1	GTF2IP2
HG2280_PATCH	893822	900019	-1	CSPG4P5
21	33584687	33931607	-1	
HG2290_PATCH	87294	87907	-1	IGKV3-7
HG2280_PATCH	904769	913804	-1	UBE2Q2P11
HG2280_PATCH	983326	992445	-1	UBE2Q2P12
HG2280_PATCH	992224	994227	1	
HG2280_PATCH	997309	997341	1	
HG2290_PATCH	101235	101757	-1	IGKV1-8
HG2280_PATCH	1005087	1018795	-1	
21	9810501	9810848	1	
HG2280_PATCH	1089655	1125834	-1	
HG2290_PATCH	118808	119341	-1	IGKV1-9
21	8680538	8680934	-1	
HG2290_PATCH	128818	129512	-1	IGKV2-10
HG2290_PATCH	135997	136557	-1	IGKV3-11
21	9913117	9914846	1	
HG2280_PATCH	1092832	1119642	1	ZSCAN2
21	38502445	38502621	1	SNRPGP13
HG2290_PATCH	149050	149571	-1	IGKV1-12
21	5597390	5597490	1	Y_RNA
21	8256781	8256933	1	5_8S_rRNA
21	8250060	8250149	1	
HG2290_PATCH	154821	155292	-1	IGKV1-13
21	8249505	8249596	1	MIR6724-2
HG2290_PATCH	186836	187610	-1	IGKV2-14
21	7474394	7474494	1	Y_RNA
HG2290_PATCH	194003	194613	-1	IGKV3-15
21	8388362	8388453	1	MIR6724-3
21	8388898	8388987	1	
21	8395607	8395759	1	RNA5-8SN3
HG2290_PATCH	208685	209187	-1	IGKV1-16
21	8432530	8432621	1	MIR6724-4
21	8433085	8433174	1	
21	8439823	8439975	1	RNA5-8SN1
21	7663911	7664011	-1	Y_RNA
HG2290_PATCH	226168	226670	-1	IGKV1-17
21	8205315	8205406	1	MIR6724-1
21	8205851	8205940	1	
21	8208473	8208652	1	MIR3648-1
21	8208844	8208904	1	
HG2290_PATCH	237550	238309	-1	IGKV2-18
21	8212572	8212724	1	RNA5-8SN2
HG2280_PATCH	1103535	1106815	-1	
21	9907916	9908010	1	SNORA70
HG2290_PATCH	243801	244083	-1	IGKV2-19
HG2280_PATCH	1113861	1115083	-1	
21	13644775	13644850	-1	MIR3118-1
HG2290_PATCH	251400	251986	-1	IGKV3-20
HG2280_PATCH	1125720	1126481	1	EGLN1P1
21	7092616	7092716	1	Y_RNA
21	13621577	13621683	1	RNU6-286P
HG2280_PATCH	1131131	1146189	-1	WDR73
21	9902344	9902627	-1	RN7SL52P
21	17431547	17431647	1	RNU6-113P
21	17527140	17527247	-1	Y_RNA
21	17576798	17576906	1	Y_RNA
21	20356653	20356896	1	RN7SKP147
21	20355748	20355852	-1	RNU6-772P
21	23281736	23281909	-1	RNU2-55P
HG2290_PATCH	268577	269192	-1	IGKV6-21
21	19345148	19345312	1	RNU1-139P
21	22205192	22205332	1	RNU4-45P
21	13406384	13406460	-1	MIR3156-3
21	23432181	23432282	-1	Y_RNA
HG2290_PATCH	279601	280038	-1	IGKV1-22
21	25101132	25101415	1	RN7SKP236
HG2290_PATCH	280848	281379	-1	IGKV2-23
21	17506453	17506728	1	RN7SL163P
21	23079284	23079392	1	MIR6130
HG2290_PATCH	285154	285986	-1	IGKV2-24
21	25202207	25202315	1	RNA5SP489
21	26953961	26954043	1	MIR4759
21	18686090	18686164	-1	MIR548X
HG2290_PATCH	301326	301578	-1	IGKV3-25
21	13047583	13047689	1	RNU6-614P
HG2290_PATCH	304922	305655	-1	IGKV2-26
21	28743208	28743291	1	U6
HG2290_PATCH	312335	312732	-1	
21	38894785	38894867	1	SNORA62
HG2290_PATCH	322249	322754	-1	IGKV1-27
21	32377187	32377322	-1	SNORA80A
21	41870633	41872054	1	
HG2290_PATCH	330524	331287	-1	IGKV2-28
21	41882205	41882300	1	
HG2290_PATCH	343000	343738	-1	IGKV2-29
21	42102134	42108534	-1	UMODL1-AS1
HG2290_PATCH	353607	354422	-1	IGKV2-30
HG2280_PATCH	1134333	1134609	-1	Metazoa_SRP
HG2280_PATCH	1146975	1150409	-1	NMB
HG2290_PATCH	361037	361562	-1	IGKV3-31
21	35136638	35139222	1	RUNX1-AS2
HG2290_PATCH	362397	362841	-1	IGKV1-32
HG2280_PATCH	778756	787862	1	UBE2Q2P16
HG2290_PATCH	375320	377332	-1	IGKV1-33
21	35472095	35472432	-1	RPL34P3
HG2280_PATCH	778276	794166	1	
21	35599732	35600022	-1	EZH2P1
21	35720715	35720808	1	MIR802
21	35724747	35725100	-1	RPS20P1
21	35887195	35887807	1	PPP1R2P2
21	36016079	36016546	-1	RPL23AP3
HG2280_PATCH	809654	811107	-1	GOLGA2P7
HG2290_PATCH	384124	384613	-1	IGKV3-34
21	36050214	36051377	1	RIMKLBP1
HG2290_PATCH	395515	395799	-1	IGKV1-35
HG2280_PATCH	891005	893746	-1	DNM1P51
21	36066545	36066652	1	RNU6-992P
HG2290_PATCH	404059	404281	-1	IGKV2-36
HG2280_PATCH	1001772	1008631	-1	GOLGA6L5P
HG2290_PATCH	406090	406611	-1	IGKV1-37
21	36069941	36073166	1	CBR1
HG2280_PATCH	1018627	1062546	-1	UBE2Q2P1
HG2290_PATCH	418724	418970	-1	IGKV2-38
HG2290_PATCH	428451	428972	-1	IGKV1-39
HG2280_PATCH	1062770	1069970	1	LINC00933
HG2280_PATCH	685962	732372	1	EFL1P1
HG2280_PATCH	685962	771080	1	
HG2290_PATCH	438936	439255	-1	IGKV2-40
HG2280_PATCH	1123809	1133912	1	SCAND2P
HG2280_PATCH	999731	1003314	-1	
HG2280_PATCH	1004564	1008660	-1	
HG2280_PATCH	1019042	1063062	-1	UBE2Q2P1
HG2280_PATCH	1062495	1072021	1	LINC00933
21	36082859	36090414	1	
21	36132450	36133032	1	RPS9P1
21	36168970	36170180	-1	RPL3P1
21	32496812	32497311	1	EXOSC3P1
HG2280_PATCH	1123297	1139324	1	
21	32538299	32538434	1	
21	32563075	32563210	1	RNA5SP490
21	32621084	32622083	1	OR7E23P
21	32624416	32625096	-1	
21	32402511	32612865	-1	CFAP298-TCP10L
21	36526280	36542855	-1	
21	36580172	36581229	1	
21	36699115	36749917	1	SIM2
21	36803984	36806284	-1	HLCS-IT1
21	36851911	36852028	1	RNA5SP491
21	36943267	36944125	1	DPRXP5
21	36986739	36986851	-1	Y_RNA
21	36994643	36995075	1	MRPL20P1
21	37006150	37019662	1	RIPPLY3
HG2408_PATCH	9469	23568	1	RNF139
21	37045530	37045636	1	RNU6-696P
21	43659560	43696079	1	RRP1B
HG2408_PATCH	23435	74408	-1	TATDN1
HG2288_HG2289_PATCH	16730	37102	-1	C13orf46
HG2288_HG2289_PATCH	40809	191714	-1	RASA3
HG2408_PATCH	23460	26593	1	
HG2408_PATCH	43465	43526	-1	MIR6844
21	43783123	43783573	1	TMEM97P1
21	43855890	43856342	-1	MYL6P1
21	43865223	43987592	1	AGPAT3
HG2288_HG2289_PATCH	166660	167911	-1	RASA3-IT1
HG2365_PATCH	1309218	1310156	1	OR4M2
HG2365_PATCH	1323146	1324093	1	OR4N4
HG2365_PATCH	3023934	3054785	1	POTEB
HG2365_PATCH	3680689	3718280	1	NIPA1
HG2365_PATCH	3764107	3841375	-1	CYFIP1
21	43919795	43919901	-1	RNU6-859P
21	43996322	43996420	-1	RNU6-1150P
21	44046347	44047041	-1	H2AZP1
21	37337382	37366858	-1	
21	37365477	37365932	-1	
21	42950928	42951014	-1	MIR5692B
21	43115334	43115709	-1	MRPL51P2
21	43159066	43162277	-1	
21	45376191	45376382	-1	MTCO1P3
HG2365_PATCH	4023536	4031349	-1	GOLGA6L1
21	45407386	45410065	-1	COL18A1-AS2
21	45419716	45425070	-1	COL18A1-AS1
HG2365_PATCH	4052227	4062511	1	GOLGA8DP
21	45478266	45478326	1	MIR6815
21	41441056	41445708	-1	MX1-AS1
21	41539206	41539326	1	
21	41559125	41562958	-1	
21	32259804	32261585	-1	
21	42831040	42836477	-1	
21	10521553	10606140	1	TPTE
HG2365_PATCH	4275401	4283241	-1	
HG2365_PATCH	4384966	4393338	-1	GOLGA6L2
HG2365_PATCH	4591460	4595206	-1	MAGEL2
HG2365_PATCH	4634304	4635027	-1	NDN
HG2291_PATCH	172670	177125	-1	
HG2365_PATCH	103301	112560	1	
HG2365_PATCH	108360	108462	1	RNU6-978P
HG2365_PATCH	124080	124305	1	
HG2291_PATCH	193957	230684	1	FAM230C
HG2365_PATCH	180046	180348	-1	
HG2365_PATCH	189414	189847	-1	
HG2365_PATCH	212409	212868	-1	
HG2365_PATCH	237492	238937	1	
HG2291_PATCH	205230	206126	-1	
HG2291_PATCH	234160	235824	1	
HG2365_PATCH	347567	348453	1	
HG2291_PATCH	247573	247695	-1	
HG2365_PATCH	546090	546362	1	
HG2291_PATCH	252186	269482	-1	GGT4P
HG2365_PATCH	556638	557528	-1	
HG2365_PATCH	599364	599595	-1	
HG2365_PATCH	694310	695742	-1	
HG2291_PATCH	277980	308594	-1	IGSF3P1
HG2291_PATCH	296214	297393	1	KMT5AP1
HG2365_PATCH	773566	783509	-1	GOLGA6L6
HG2291_PATCH	330593	347256	1	
HG2365_PATCH	814140	814428	1	
HG2365_PATCH	868495	868854	-1	
HG2365_PATCH	966354	967190	-1	
HG2365_PATCH	1041117	1041794	1	
HG2365_PATCH	1045416	1046508	-1	
HG2365_PATCH	1080247	1111266	-1	POTEB2
HG2365_PATCH	1380893	1381516	-1	
HG2365_PATCH	1389054	1389489	-1	
HG2365_PATCH	1406692	1413988	-1	
HG2365_PATCH	1601275	1601506	1	
HG2365_PATCH	1630995	1631885	1	
HG2365_PATCH	1642153	1642425	-1	
HG2365_PATCH	1866022	1867594	-1	
HG2365_PATCH	1957781	1958458	1	
HG2365_PATCH	1962080	1963172	-1	
HG2365_PATCH	1994634	2029636	-1	POTEB3
HG2365_PATCH	2227072	2228155	1	OR4M2B
HG2365_PATCH	2241003	2242127	1	OR4N4C
HG2365_PATCH	2306967	2307402	-1	
HG2365_PATCH	2331526	2331959	-1	
HG2365_PATCH	2512009	2512240	1	
HG2365_PATCH	2549496	2550386	1	
HG2365_PATCH	2560654	2560926	-1	
HG2365_PATCH	2764246	2765132	-1	
HG2365_PATCH	3089834	3090926	1	
HG2365_PATCH	3094546	3095223	-1	
HG2365_PATCH	3168425	3169997	1	
HG2365_PATCH	3267715	3268074	1	
HG2365_PATCH	3322127	3332391	-1	
HG2365_PATCH	3440677	3442109	1	
HG2111_PATCH	10808	11917	1	ST13P5
HG2111_PATCH	15086	18803	1	SAA1
HG2365_PATCH	3501885	3512109	-1	
HG2365_PATCH	3983189	3985225	1	
21	13968489	13968595	-1	RNU6-954P
HG2365_PATCH	4186608	4196895	-1	
21	14000927	14005279	1	NF1P3
21	14007134	14014880	1	PPP6R2P1
21	14019060	14020725	-1	FRG2MP
21	14070871	14070986	1	RNA5SP488
21	14075950	14076038	-1	
21	39171130	39172106	-1	PCBP2P1
21	39171462	39171560	-1	
21	39216624	39217506	1	TIMM9P2
21	39217093	39219805	-1	BRWD1-IT1
21	39235386	39236020	-1	METTL21AP1
21	39344537	39344628	1	Y_RNA
21	39373763	39377066	-1	RNF6P1
21	39380332	39515506	1	GET1-SH3BGR
HG2365_PATCH	4217715	4225527	1	
21	39447010	39447069	1	MIR6508
21	39488327	39488760	1	MYL6P2
21	39491544	39491898	-1	RPS26P4
HG2365_PATCH	4314060	4314338	1	
21	39525583	39529855	1	JCADP1
HG2111_PATCH	15219	15336	1	RNA5SP334
21	39630271	39726085	1	
HG2365_PATCH	4513255	4522890	1	
HG2111_PATCH	27494	71024	-1	HPS5
21	39867438	39929397	1	PCP4
HG2365_PATCH	5289468	5291203	-1	
21	40010999	40847158	-1	DSCAM
HG2308_PATCH	20874	63725	-1	
HG2308_PATCH	21312	247523	1	PCDHA1
HG2308_PATCH	30028	247523	1	PCDHA2
HG2308_PATCH	36204	247523	1	PCDHA3
HG2308_PATCH	42105	247523	1	PCDHA4
HG2308_PATCH	56780	247523	1	PCDHA5
HG2308_PATCH	63134	247523	1	PCDHA6
HG2308_PATCH	69424	247523	1	PCDHA7
HG2308_PATCH	76363	247523	1	PCDHA8
HG2308_PATCH	82948	247523	1	PCDHA9
HG2308_PATCH	84281	84872	-1	
HG2308_PATCH	91059	247523	1	PCDHA10
HG2308_PATCH	96400	98697	1	PCDHA14
HG2308_PATCH	102689	103135	-1	
HG2308_PATCH	103359	247523	1	PCDHA11
21	40212352	40212431	-1	MIR4760
21	40513144	40513279	1	
21	40615378	40630767	-1	DSCAM-IT1
HG2308_PATCH	110478	247523	1	PCDHA12
HG2308_PATCH	110522	111098	-1	
21	40736318	40754888	1	
HG2308_PATCH	113249	117818	-1	
21	40863994	40864473	1	YRDCP3
HG2308_PATCH	117300	247523	1	PCDHA13
21	41007244	41037362	-1	
21	41167557	41167629	1	MIR3197
21	41580475	41582887	1	PCSEAT
HG2308_PATCH	201388	201666	-1	
HG2308_PATCH	201646	247523	1	PCDHAC2
21	41679181	41697336	1	LINC00111
21	41739369	41767089	-1	RIPK4
HG2308_PATCH	286550	294522	1	PCDHB1
HG2308_PATCH	161475	247523	1	PCDHAC1
HG2308_PATCH	275169	276081	-1	
HG2308_PATCH	281436	331578	-1	PCDHB1-AS1
HG2308_PATCH	313252	319657	1	
HG2308_PATCH	322646	324386	1	
HG2308_PATCH	329782	333879	1	PCDHB2
HG2308_PATCH	335418	409567	-1	
HG2308_PATCH	353856	355941	1	
HG2308_PATCH	356994	360799	1	PCDHB4
HG2308_PATCH	370382	373791	1	PCDHB5
HG2461_PATCH	13608	13804	-1	
HG2461_PATCH	41113	67257	-1	ZNF558
HG2308_PATCH	371859	480556	-1	
21	41739373	41741308	1	
HG2308_PATCH	385233	388463	1	PCDHB6
21	41746772	41746841	-1	MIR6814
HG2461_PATCH	56444	59053	1	
21	42221173	42221286	1	RNA5SP492
HG2308_PATCH	391172	393564	1	PCDHB17P
HG2461_PATCH	67320	78283	1	MBD3L1
HG2308_PATCH	391172	394237	1	
21	42346357	42350997	-1	TFF2
HG2308_PATCH	403407	404069	1	
HG2461_PATCH	68008	68484	1	
HG2308_PATCH	407820	411559	1	PCDHB7
HG2461_PATCH	269112	269752	1	BOLA3P2
HG2308_PATCH	412966	415715	1	PCDHB8
HG2461_PATCH	332880	333166	-1	OR1M4P
HG2308_PATCH	413025	417545	1	
HG2308_PATCH	417563	421402	1	PCDHB16
HG2461_PATCH	83783	260177	-1	MUC16
HG2308_PATCH	417585	423758	1	
HG2308_PATCH	418577	436572	-1	
HG2308_PATCH	422303	426717	1	PCDHB9
21	42362282	42366535	-1	TFF1
HG2308_PATCH	426775	429264	-1	
HG2308_PATCH	427529	430823	1	PCDHB10
HG2308_PATCH	434786	438955	1	PCDHB11
HG2308_PATCH	443873	447747	1	PCDHB12
HG2111_PATCH	71121	115871	1	GTF2H1
HG2308_PATCH	449095	454155	1	PCDHB13
HG2308_PATCH	458519	462935	1	PCDHB14
21	42403447	42447684	1	UBASH3A
HG2308_PATCH	458548	481037	1	
HG2308_PATCH	469509	472705	1	PCDHB18P
HG2308_PATCH	469727	472094	1	PCDHB18P
HG2308_PATCH	475099	477469	1	PCDHB19P
HG2308_PATCH	475297	478210	1	
HG2308_PATCH	480571	484541	1	PCDHB15
HG2308_PATCH	494411	496540	1	
HG2308_PATCH	335649	339003	1	PCDHB3
HG2111_PATCH	139239	139312	1	MIR3159
HG2111_PATCH	146012	159877	1	LDHA
HG2407_PATCH	35454	36135	-1	
HG2407_PATCH	38738	39024	1	RN7SL138P
HG2407_PATCH	44109	44674	-1	LINC02978
HG2476_PATCH	12615	42058	-1	LINC02145
HG2407_PATCH	47959	49481	1	
HG2476_PATCH	74048	80745	-1	MED10
HG2407_PATCH	50158	79085	1	RNF135
HG2476_PATCH	80848	113864	1	
HG2476_PATCH	152669	200533	1	UBE2QL1
21	42417497	42417593	-1	RNU6-1149P
21	42496539	42497443	1	RSPH1-DT
HG2407_PATCH	50826	52486	1	
21	42508624	42509661	1	
HG2407_PATCH	54561	55128	1	DPRXP4
HG2407_PATCH	57784	59424	-1	
21	42560374	42561934	-1	
HG2407_PATCH	87328	87493	-1	
HG2407_PATCH	169961	174624	-1	MIR4733HG
HG2407_PATCH	173524	173599	-1	MIR4733
21	42648271	42651244	-1	
HG2407_PATCH	212356	217692	1	
HG2407_PATCH	351187	376701	-1	OMG
HG2419_PATCH	22194	45323	1	HSF1
21	43551229	43551600	1	RPL31P1
21	43565182	43565648	1	H2BC12L
HG2407_PATCH	382932	393259	-1	EVI2B
21	43609887	43609989	-1	MIR6070
21	44175489	44176453	1	
HG2407_PATCH	384375	397992	-1	
21	44244545	44244993	1	
21	44246339	44262216	-1	DNMT3L
HG2407_PATCH	424390	425061	1	AK4P1
HG2407_PATCH	117749	130200	-1	
HG2407_PATCH	120262	138295	-1	
HG2407_PATCH	87928	111120	1	
HG2407_PATCH	87671	172301	1	
21	44250813	44251520	1	DNMT3L-AS1
21	44328944	44330221	-1	
21	44328944	44339402	-1	CFAP410
HG2419_PATCH	45187	57513	-1	DGAT1
HG2494_PATCH	83052	83121	1	MIR1245A
HG2494_PATCH	83053	83121	-1	MIR1245B
HG2494_PATCH	100590	100652	1	MIR3606
HG2494_PATCH	79333	117706	1	COL3A1
21	44331234	44335851	1	
21	44347767	44348295	-1	
21	44437121	44437175	1	
21	44439035	44439110	1	
21	44530172	44533145	1	
21	44538981	44540195	-1	KRTAP10-1
21	44550357	44551505	-1	KRTAP10-2
21	44557790	44558795	-1	KRTAP10-3
21	44579455	44580604	-1	KRTAP10-5
21	44591268	44592505	-1	KRTAP10-6
21	44600597	44602174	1	KRTAP10-7
21	44612079	44612954	1	KRTAP10-8
HG2412_PATCH	43879	103333	-1	SLC14A2-AS1
21	44637356	44638455	1	KRTAP10-10
21	44646414	44647650	1	KRTAP10-11
21	44654213	44654659	-1	KRTAP12-4
21	44657932	44658341	1	KRTAP12-3
21	44666189	44666927	-1	KRTAP12-2
HG2412_PATCH	103458	149969	1	
21	44675868	44678086	-1	IMMTP1
21	44681576	44682163	-1	KRTAP12-1
21	44686358	44686629	1	KRTAP12-5P
21	44702221	44702791	1	KRTAP10-13P
HG2412_PATCH	111696	123939	-1	
21	44929653	44930112	-1	
HG2412_PATCH	127335	170297	1	
21	44936303	44936954	1	
21	44978832	44979274	1	
HG2412_PATCH	193198	195618	-1	
21	44989864	44994086	-1	LINC00163
21	44994362	44995185	-1	LINC00165
21	45336707	45338665	1	
21	45759804	45763758	-1	
21	45827961	45837987	-1	PCBP3-AS1
21	45861830	45888638	-1	
21	45870854	45873345	1	
21	45914296	45919483	1	
21	46151614	46152647	1	FTCD-AS1
21	46220269	46225364	1	
21	34456110	34456237	-1	
21	33070141	33072413	1	OLIG1
21	13609777	13645823	1	POTED
HG2419_PATCH	45193	45741	-1	
HG2419_PATCH	47849	47918	-1	MIR6848
HG2419_PATCH	61168	67085	-1	SCRT1
HG2419_PATCH	82822	85517	-1	TMEM249
21	42062959	42143453	1	UMODL1
HG2419_PATCH	83831	86212	-1	
HG2509_PATCH	85534	85840	-1	
HG2419_PATCH	86034	89979	-1	FBXL6
HG2509_PATCH	129779	134188	-1	
HG2509_PATCH	256352	260747	1	
HG2111_PATCH	157061	158183	1	
HG2442_PATCH	7144	8038	1	RPS2P6
HG2442_PATCH	72440	74015	1	
HG2419_PATCH	103704	123845	1	ADCK5
HG2511_PATCH	105718	105992	-1	
HG2511_PATCH	149176	153567	-1	
HG2419_PATCH	123832	139938	-1	CPSF1
HG2511_PATCH	326086	326395	1	
21	34511122	34614913	-1	
21	30762682	30762882	-1	
21	30802242	30802427	-1	KRTAP8-2P
21	30806932	30807119	-1	KRTAP8-3P
21	30812697	30813274	-1	KRTAP8-1
21	30829039	30829759	-1	KRTAP7-1
21	30880644	30881580	-1	KRTAP11-1
21	31038159	31038476	-1	KRTAP19-8
21	31060600	31063168	-1	UBE3AP2
21	31347736	31359157	1	
21	31452466	31453223	1	MTRES1P2
21	31559245	31560487	1	TIAM1-AS1
21	31627127	31628600	-1	FBXW11P1
21	31664306	31664482	1	
21	31666728	31667247	-1	
21	31706555	31706864	1	HMGN1P2
21	31735732	31736407	1	
21	36295173	36295702	-1	SRSF9P1
21	36319792	36320670	-1	
HG2499_PATCH	90262	92878	1	
21	36360630	36362040	1	
21	42916803	42925630	-1	ERVH48-1
HG2499_PATCH	93946	94960	-1	
21	14108813	14210955	-1	LIPI
HG2499_PATCH	9291	9341	1	
HG2499_PATCH	28179	29250	-1	OR4F4
HG2499_PATCH	32301	39487	-1	
HG2499_PATCH	32942	33844	-1	OR4G2P
HG2499_PATCH	43728	44607	-1	OR4G6P
HG2499_PATCH	61022	62549	1	FAM138E
HG2499_PATCH	65676	67545	-1	
21	44627093	44628378	1	KRTAP10-9
21	44573729	44575371	1	KRTAP10-4
HG2499_PATCH	66596	66733	-1	MIR1302-10
HG2499_PATCH	67740	82680	1	
21	39745183	39802081	1	IGSF5
21	6223480	6223580	-1	Y_RNA
21	6272135	6276532	-1	
21	6309161	6312948	1	
21	6365955	6366055	1	Y_RNA
HG2515_PATCH	22284	59336	-1	MEF2D
21	6676178	6679962	-1	
21	6712596	6716361	1	
HG2515_PATCH	42655	42767	-1	Y_RNA
HG2499_PATCH	72212	82403	1	WASH3P
HG2515_PATCH	61640	62578	1	
HG2515_PATCH	63217	63648	-1	
HG2515_PATCH	68411	70238	1	
13	25017404	25017536	1	LSP1P1
HG2515_PATCH	83962	131161	-1	IQGAP3
13	18467172	18485448	-1	ZNF962P
13	26965967	26991996	-1	
13	40224625	40224862	-1	RPL17P51
21	46235133	46286297	-1	MCM3AP
13	37993085	37994720	-1	HSPD1P9
HG2499_PATCH	79661	79728	1	MIR6859-3
13	24315725	24321598	-1	C1QTNF9-AS1
HG2499_PATCH	82695	85230	-1	DDX11L16
13	23765934	23766104	-1	MTCO3P2
HG2515_PATCH	138280	146276	1	TTC24
13	40469955	40611127	-1	
HG2499_PATCH	83431	84928	-1	DDX11L9
13	23979700	24321031	1	
HG2515_PATCH	173301	173847	-1	
HG2515_PATCH	177890	184284	1	HAPLN2
13	27017554	27017909	-1	RPS20P32
13	42369259	42369657	-1	FABP3P2
HG2515_PATCH	196342	199563	-1	BCAN-AS1
13	29476515	29490105	-1	MTUS2-AS1
HG2515_PATCH	200225	203446	-1	
HG2515_PATCH	152858	160055	-1	GPATCH4
13	25017766	25017903	-1	
13	34262863	34263090	1	
13	47930153	47932622	-1	LINC00562
13	26977543	26977789	1	RPS21P8
13	33800138	33802853	1	
13	42181465	42181921	-1	CHCHD2P11
13	45552863	45553136	-1	TIMM9P3
13	34435450	34640803	-1	LINC00457
13	29239379	29250554	-1	MTUS2-AS2
13	38372856	38373935	1	
13	53408882	53409876	-1	ZNF646P1
13	59262680	59263391	1	RPP40P2
HG2419_PATCH	124752	124833	-1	MIR939
HG2419_PATCH	130689	130768	-1	MIR1234
13	34574204	34574666	-1	GAMTP2
HG2419_PATCH	130880	130948	-1	MIR6849
13	33657436	33659928	1	
HG2419_PATCH	140095	140579	1	
13	47307082	47307301	1	GNG5P5
13	56051034	56054397	-1	
HG2419_PATCH	140345	147498	-1	SLC39A4
13	42255873	42256575	1	FHP1
13	37139176	37139585	-1	
13	38821798	38827570	-1	FREM2-AS1
13	59071462	59071803	-1	POLR3KP1
13	53193667	53198540	1	
13	57314739	57315909	1	SLC25A5P4
13	24323021	24323457	1	
13	24252749	24254439	-1	SPATA13-AS1
13	57173453	57173632	1	PRR20FP
13	26685640	26698804	-1	
13	58751047	58752233	-1	DNAJA1P1
13	68289679	68291280	-1	ELL2P3
HG2114_PATCH	23	6802	-1	KBTBD4
13	72708367	72727629	-1	MZT1
13	70564267	70564437	-1	
13	58211697	58233117	-1	LINC00374
13	68331338	68331613	-1	RPL37P21
13	45534522	45615739	-1	ERICH6B
13	37534940	37551536	1	LINC00547
HG2114_PATCH	4297	4414	-1	RNU5E-10P
HG2114_PATCH	5551	6103	1	
HG2114_PATCH	14519	17020	1	FAM180B
13	54440704	54441315	-1	RPL13AP25
13	73407768	73408352	-1	MARK2P12
13	34079411	34080134	1	
13	73100575	73100985	-1	FABP5P1
HG2510_PATCH	70349	70658	-1	
HG2114_PATCH	17493	22237	-1	C1QTNF4
13	69700594	70108493	-1	KLHL1
